,name,urlid,overall,capHit,pos,SPD,STR,AGI,ACC,AWR,CTH,JMP,STA,INJ,TAK,POW,PWM,FNM,BKS,PUR,PRC,MCV,ZCV,PRS,KPW,KAC,KR,TRK,ELU,BCV,SFA,SPM,JKM,CAR,RTE,CIT,SPC,RLS,THP,TAS,TAM,TAD,TOR,PAC,RBK,PBK,IMP,fights_for_extra_yards,possession_catches,aggressive_catches,rac_catches,sideline_catches,big_hitter,strips_ball,plays_ball_in_air,canAuction
2366,Steve Atwater,21090,81,26,FS,78,67,76,81,89,55,75,82,85,77,80,46,51,60,78,89,65,80,64,15,15,53,44,50,58,47,53,63,57,20,54,51,15,15,10,10,10,10,10,45,45,77,,,,,,Yes,Yes,Balanced,True
2367,DeAndre Hopkins,1302000506,81,29,WR,84,58,84,85,76,76,85,84,86,49,45,42,43,51,42,45,43,45,48,36,36,64,55,69,76,64,68,76,70,76,76,79,79,45,36,33,33,39,36,64,50,52,Yes,Yes,Yes,Yes,Yes,,,,False
2368,Tyler Eifert,1302000849,81,28,TE,76,66,77,79,80,79,82,86,72,42,37,33,38,54,45,34,26,38,37,34,34,25,71,58,77,66,63,68,75,77,79,78,77,46,31,27,24,30,25,75,67,63,Yes,Yes,Yes,Yes,Yes,,,,False
2369,Mohamed Sanu Sr,1018011257,81,26,WR,82,69,81,83,76,78,82,84,84,52,30,27,27,59,57,46,46,54,30,61,53,71,68,68,77,75,69,68,71,75,76,79,75,71,54,57,65,49,39,61,52,61,Yes,No,Yes,Yes,Yes,,,,True
2370,Jabaal Sheard,1018010700,81,24,LOLB,76,71,68,82,79,56,75,76,81,85,79,71,84,82,84,79,65,71,38,38,35,28,44,49,50,53,40,49,49,31,38,40,35,38,30,31,30,34,31,56,56,83,,,,,,No,Yes,Balanced,True
2371,Marcus Mariota,27577,81,28,QB,83,56,85,85,76,59,86,90,86,41,32,30,30,39,44,43,30,39,30,47,45,32,50,72,76,53,73,73,56,46,39,43,41,75,75,73,73,80,74,37,37,37,,,,,,,,,False
2372,Jahri Evans,24137,81,21,RG,57,83,57,73,82,33,42,79,83,39,31,23,23,39,30,23,25,25,23,27,28,23,32,23,23,23,23,23,46,28,28,28,31,36,23,23,23,26,23,74,85,75,,,,,,,,,True
2373,Damarious Randall,24142,81,26,CB,86,63,87,87,73,71,84,84,83,63,65,51,60,58,73,73,76,75,75,41,42,65,56,74,75,57,72,75,66,39,58,66,47,42,37,37,37,39,37,55,55,58,,,,,,No,No,Aggressive,True
2374,Pierre Garcon,1302028544,81,26,WR,81,58,79,82,79,81,81,85,82,43,28,27,27,43,43,33,27,37,33,40,40,72,60,76,76,70,73,76,70,79,79,76,76,43,33,30,27,32,27,62,46,60,Yes,Yes,No,Yes,Yes,,,,False
2375,Telvin Smith,1302002064,81,22,ROLB,79,56,79,80,81,72,69,78,82,79,81,60,73,80,83,81,73,77,63,41,41,37,63,56,59,56,61,66,67,42,63,63,38,44,34,34,34,35,34,56,56,81,,,,,,Yes,Yes,Aggressive,False
2376,Ali Marpet,1302002510,81,19,C,67,79,65,78,80,55,72,73,82,50,39,33,33,39,42,37,34,37,33,42,42,33,39,34,33,45,33,33,55,37,37,37,39,45,32,33,32,35,33,79,80,77,,,,,,,,,False
2377,Stefon Diggs,1302002454,81,26,WR,82,55,84,84,78,78,78,79,75,42,35,35,35,48,48,39,37,42,37,46,46,78,49,78,78,59,79,81,70,78,78,78,78,48,39,37,34,39,35,64,51,57,No,No,Yes,Yes,Yes,,,,False
2378,Leonard Williams,1302002527,81,22,LE,65,78,65,74,81,52,70,64,77,81,78,81,71,81,81,81,40,49,43,41,40,38,61,47,52,61,50,46,63,40,49,47,42,50,37,38,37,40,38,58,58,81,,,,,,No,No,,False
2379,Melvin Gordon,1302002398,81,29,HB,83,64,83,82,80,69,76,80,84,48,46,25,29,46,53,32,24,32,28,33,32,68,69,80,81,79,81,82,80,64,64,60,61,43,23,23,23,25,23,46,64,46,Yes,No,No,No,No,,,,False
2380,Jay Ajayi,1302002400,81,28,HB,80,72,82,81,81,66,79,73,71,46,50,32,30,40,50,24,24,32,29,52,48,58,73,81,83,82,77,82,79,66,62,68,64,41,27,28,27,26,24,50,54,50,Yes,No,No,No,No,,,,False
2381,C.J. Prosise,23106,81,29,HB,86,65,82,86,71,71,82,84,78,47,41,36,37,43,49,40,38,40,38,40,40,60,72,75,73,70,72,74,72,72,70,69,69,41,46,43,42,49,42,50,63,50,Yes,No,No,No,No,,,,True
2382,Rod Woodson,21081,81,30,CB,88,70,90,90,75,65,89,87,81,80,77,51,61,68,84,75,75,71,70,35,35,91,64,83,82,69,83,86,65,45,58,60,45,45,15,15,15,15,15,45,45,71,,,,,,Yes,No,Balanced,True
2383,Matthew Stafford,1302020051,81,26,QB,66,60,62,70,76,37,50,87,83,38,28,26,26,38,39,31,26,35,26,38,37,26,53,53,65,44,45,59,60,30,30,30,33,86,73,76,76,78,73,37,37,37,,,,,,,,,False
2384,Deion Jones,1302017677,81,22,MLB,82,65,79,82,78,66,75,73,79,78,78,63,68,74,81,78,74,78,60,41,41,36,46,47,49,46,49,52,62,38,51,53,44,45,36,36,36,38,36,46,42,79,,,,,,Yes,No,Aggressive,False
2385,Lawrence Timmons,1018027923,81,21,MLB,74,69,77,84,83,63,80,85,84,80,84,68,70,68,77,83,68,72,61,38,31,31,31,54,38,43,47,61,68,38,40,51,38,33,31,31,31,34,31,54,54,79,,,,,,Yes,Yes,Balanced,True
2386,Giovani Bernard,1018000323,81,32,HB,85,57,88,88,75,68,77,85,76,40,29,29,37,39,45,25,28,36,29,31,25,76,55,81,79,69,84,83,79,72,72,63,58,37,43,40,32,31,28,47,66,46,No,No,No,No,Yes,,,,True
2387,Johnathan Joseph,1018027202,81,24,CB,83,43,82,82,82,73,86,87,78,65,55,41,54,61,75,82,79,76,73,34,35,66,44,54,65,38,72,80,65,47,53,65,41,45,34,35,34,37,35,55,55,62,,,,,,No,No,Aggressive,True
2388,Devin Wade,70300,81,26,QB,74,70,78,82,64,66,80,88,92,60,72,10,10,66,68,80,69,75,10,24,22,14,66,78,80,75,80,82,72,22,33,49,25,82,77,73,70,82,66,39,32,35,,,,,,,,,False
2389,Colt Cruise,70301,81,29,WR,83,52,88,88,67,80,85,86,88,28,15,10,10,35,35,20,15,20,15,28,24,84,42,86,80,52,71,80,66,77,81,75,74,31,15,10,10,10,10,58,30,45,No,Yes,No,Yes,No,,,,False
2390,Kyle Williams,1018027294,81,23,DT,56,84,57,73,84,47,58,76,74,80,64,75,64,81,77,84,42,38,30,34,33,30,30,34,30,30,30,30,49,32,32,32,35,39,30,30,30,31,30,53,53,84,,,,,,No,No,,True
2391,Clay Matthews,1018020143,81,24,ROLB,77,78,78,83,83,69,74,88,80,82,85,81,69,69,80,83,59,69,54,33,27,27,27,41,27,27,27,27,59,40,40,46,34,30,27,27,27,30,27,54,54,83,,,,,,Yes,Yes,Balanced,True
2392,Joe Staley,1303027965,81,20,LT,71,82,71,80,84,63,73,86,83,37,28,25,25,36,39,25,26,26,25,33,33,25,25,36,25,25,25,25,63,49,47,39,55,31,24,25,24,28,25,79,75,81,,,,,,,,,False
2393,Zach Ertz,1303000857,81,27,TE,75,71,77,82,83,84,74,82,79,44,24,22,22,48,43,28,29,29,22,31,31,43,69,63,75,69,72,71,78,77,80,80,78,47,29,26,21,28,22,62,65,72,Yes,No,No,Yes,Yes,,,,False
2394,Alec Ogletree,1018001286,81,21,MLB,79,61,81,84,78,73,78,84,79,82,82,59,68,69,77,78,69,74,68,39,39,37,52,57,60,57,63,54,65,40,62,63,48,46,56,53,51,58,48,57,57,78,,,,,,Yes,Yes,Aggressive,True
2395,Sebastian Janikowski,1018001373,81,17,K,58,48,53,59,75,32,23,75,82,44,35,22,22,35,29,32,22,27,25,82,75,22,39,36,22,22,22,22,42,25,25,25,32,31,41,38,35,35,32,36,35,36,,,,,,,,,True
2396,Ronald Leary,1018011713,81,19,LG,59,81,51,73,80,56,71,69,80,48,33,26,26,47,46,26,26,26,26,36,34,26,36,26,26,26,26,26,54,44,53,44,32,44,26,26,26,28,26,79,80,80,,,,,,,,,True
2397,Warren Moon,21009,81,25,QB,62,68,66,64,90,55,64,82,80,35,42,20,20,19,27,22,10,24,10,22,20,25,42,58,75,49,66,62,58,37,53,64,15,81,82,72,77,65,73,15,15,40,,,,,,,,,True
2398,Delanie Walker,1302027370,81,20,TE,76,69,75,75,80,78,79,80,80,54,47,41,41,58,61,53,41,47,47,46,47,56,73,66,66,77,57,64,68,75,76,70,77,51,44,43,41,44,41,77,70,72,Yes,No,Yes,Yes,Yes,,,,False
2399,De'Vondre Campbell,24064,81,24,ROLB,82,67,84,84,76,62,79,81,86,83,79,65,73,76,83,76,64,73,50,34,34,27,41,42,49,44,41,42,52,32,55,58,32,38,26,27,26,29,27,41,37,79,,,,,,No,No,Balanced,True
2400,Benjamin Watson,24059,81,23,TE,76,71,71,78,80,80,81,79,81,55,49,43,43,55,64,46,46,45,49,47,45,45,72,68,71,68,73,76,70,80,80,80,80,47,47,46,44,47,44,69,64,67,Yes,Yes,No,Yes,Yes,,,,True
2401,Whitney Mercilus,1302011292,81,27,LOLB,74,67,66,81,83,62,75,77,87,82,82,85,79,81,83,83,64,70,54,51,45,43,56,51,50,62,64,61,64,45,45,51,48,48,42,43,42,44,43,62,62,82,,,,,,Yes,Yes,Conservative,False
2402,Kirk Cousins,1302011215,81,26,QB,69,46,60,75,77,32,68,86,80,44,36,26,25,26,43,25,26,26,25,26,32,25,33,52,53,38,48,51,57,28,28,28,32,77,83,80,75,77,79,27,26,27,,,,,,,,,False
2403,Carlos Hyde,1018010874,81,28,HB,82,75,85,84,75,66,78,78,78,40,33,32,32,40,56,38,35,38,32,40,40,67,76,73,77,77,77,80,74,57,62,57,68,46,49,46,40,40,38,63,60,61,Yes,No,No,No,No,,,,True
2404,Kenny Vaccaro,1018001466,81,24,SS,79,59,82,84,79,70,84,87,84,75,83,60,70,70,82,79,70,72,79,38,37,61,68,62,70,68,69,72,69,43,68,70,54,48,31,32,31,34,32,55,55,69,,,,,,Yes,No,Balanced,True
2405,David Andrews,24033,81,20,C,66,83,56,82,83,36,67,81,81,46,45,31,28,46,39,31,26,28,25,31,31,25,36,28,25,25,25,25,34,25,25,26,29,33,25,26,25,27,26,77,77,80,,,,,,,,,True
2406,T.J. Watt,24038,81,27,ROLB,81,76,82,84,74,61,86,80,82,82,81,74,80,75,82,74,68,73,52,30,26,20,50,41,49,44,40,46,54,31,54,58,33,32,23,24,23,26,24,46,46,72,,,,,,No,No,Balanced,True
2407,Grady Jarrett,1018002549,81,22,DT,64,83,60,79,79,40,75,60,76,79,79,79,65,76,79,79,36,40,27,36,36,23,32,25,27,42,23,23,46,27,27,27,31,37,23,23,23,26,23,50,50,80,,,,,,Yes,No,,True
2408,Ryan Kerrigan,1302010695,81,26,ROLB,73,78,69,79,85,70,61,90,84,80,83,84,77,79,84,85,63,68,45,55,52,41,50,41,41,41,41,41,59,43,43,43,45,55,41,42,41,43,42,59,59,84,,,,,,Yes,Yes,Conservative,False
2409,Muhammad Wilkerson,1302010699,81,22,RE,64,86,68,73,81,57,64,86,86,84,78,80,71,75,80,81,57,65,50,52,53,50,58,55,50,50,50,50,63,50,50,50,53,56,50,50,50,51,50,65,65,81,,,,,,Yes,Yes,,False
2410,Marcell Dareus,1302010718,81,23,DT,65,85,63,76,78,51,61,63,86,81,80,78,64,78,79,78,43,51,39,41,41,36,53,37,52,62,36,36,53,39,39,39,41,43,36,36,36,37,36,56,56,81,,,,,,Yes,No,,False
2411,Linval Joseph,1302009870,81,22,DT,60,87,55,72,80,43,64,75,79,80,65,78,65,79,78,80,40,45,39,38,39,36,43,36,36,36,40,39,53,38,38,38,40,40,35,36,35,38,36,56,56,82,,,,,,No,No,,False
2412,NaVorro Bowman,1302009886,81,22,MLB,75,71,75,78,82,66,67,82,78,83,83,76,65,78,84,82,65,72,61,31,31,31,31,47,42,33,31,51,57,31,51,55,40,39,30,31,30,34,31,55,55,82,,,,,,Yes,Yes,Aggressive,False
2413,Everson Griffen,1302009836,81,23,RE,75,77,72,77,82,53,64,75,80,81,78,84,75,74,77,82,49,53,46,43,43,40,47,56,50,53,55,50,53,43,43,46,48,44,39,40,39,42,40,59,59,82,,,,,,No,No,,False
2414,Christian Kirksey,1018002020,81,22,MLB,80,60,80,83,81,71,82,79,84,85,75,73,66,82,82,81,60,66,66,41,41,34,60,48,50,52,48,47,66,34,66,54,44,48,34,35,34,37,35,57,57,77,,,,,,No,Yes,Balanced,True
2415,Jack Mewhort,1018012357,81,19,LG,56,83,49,70,79,43,65,80,85,35,26,19,19,37,26,26,23,23,19,26,26,19,43,31,31,35,35,39,52,42,43,39,42,28,18,19,18,22,19,79,79,80,,,,,,,,,True
2416,Jimmie Ward,1018012389,81,24,FS,84,47,82,85,76,71,83,81,85,72,75,57,63,60,78,76,77,75,80,37,34,46,65,55,65,54,64,66,67,33,59,64,34,41,28,28,28,31,28,53,53,59,,,,,,No,No,Aggressive,True
2417,Anthony Munoz,21036,81,23,LT,72,87,66,78,77,51,75,87,85,36,20,10,10,20,29,15,12,15,10,21,20,10,20,15,15,30,10,14,50,44,50,32,34,30,6,6,6,6,6,80,75,84,,,,,,,,,True
2418,Morgan Burnett,1302009954,81,24,SS,77,63,75,79,81,73,82,82,77,77,81,62,55,70,81,81,71,77,75,41,38,59,41,62,61,45,66,69,69,47,67,70,44,47,40,37,36,43,40,56,56,70,,,,,,Yes,Yes,Balanced,False
2419,Zach Strief,1302027458,81,20,RT,48,81,43,65,82,35,30,76,83,45,29,27,27,42,45,27,29,29,27,32,32,24,27,41,27,27,27,27,49,27,27,29,32,31,26,27,26,30,27,80,81,80,,,,,,,,,False
2420,Marshall Faulk,21018,81,29,HB,84,62,85,84,72,74,78,85,84,34,25,10,10,21,29,32,13,16,25,36,25,75,70,80,77,66,78,79,77,74,74,70,70,45,15,15,15,15,15,35,50,40,Yes,No,No,No,Yes,,,,True
2421,Demaryius Thomas,1302009757,81,30,WR,82,69,85,83,77,74,85,81,81,38,35,31,31,51,53,36,32,38,35,34,38,60,67,63,77,79,71,74,65,77,77,79,81,65,53,49,43,53,44,65,51,63,No,Yes,Yes,Yes,Yes,,,,False
2422,Brandon McManus,1018002278,81,16,K,72,34,69,80,75,34,61,66,87,26,29,14,14,29,34,26,15,22,14,80,79,14,14,26,24,14,26,26,38,18,18,18,22,34,21,22,21,25,22,18,19,19,,,,,,,,,True
2423,Micah Hyde,1018011903,81,23,SS,82,47,84,83,80,77,77,81,85,77,57,50,60,66,83,80,79,80,77,43,42,84,48,77,83,57,77,83,77,48,57,68,45,46,30,31,30,34,31,57,57,65,,,,,,No,No,Aggressive,True
2424,Julius Peppers,1018014816,81,22,RE,70,76,77,78,82,73,80,78,82,80,82,75,82,70,80,82,61,69,54,42,38,38,38,55,63,72,70,70,68,47,62,64,68,47,38,38,38,40,38,58,58,81,,,,,,No,Yes,,True
2425,Willie McGinest,21072,81,27,LOLB,83,80,80,86,80,60,76,86,79,78,72,79,76,78,81,80,59,72,63,20,20,15,40,30,25,45,20,35,60,15,54,48,20,20,10,10,10,10,10,45,45,81,,,,,,No,Yes,Balanced,True
2426,Champ Bailey,1301001523,81,24,CB,83,52,87,84,81,68,85,84,78,59,52,38,55,43,71,82,81,81,66,19,19,73,46,73,81,43,82,85,62,56,51,70,52,29,5,5,5,5,5,45,45,53,,,,,,No,No,Aggressive,False
2427,Larry Little,21045,81,21,RG,60,79,63,66,92,38,49,78,88,48,50,15,15,20,45,25,20,20,15,20,20,15,15,15,15,15,15,15,38,15,15,15,15,35,10,10,10,10,10,81,77,78,,,,,,,,,True
2428,Adrian Peterson,27582,81,29,HB,81,80,83,81,82,63,82,87,74,51,34,30,30,47,50,42,32,32,34,41,42,52,84,73,79,83,74,78,74,63,57,49,64,47,50,47,39,39,37,51,70,45,Yes,No,No,No,No,,,,False
2429,Timmy Jernigan,1018010877,81,23,DT,65,79,66,77,77,53,69,71,82,80,71,80,68,80,80,77,53,58,34,47,39,34,49,47,45,44,43,40,62,37,45,45,45,44,34,35,34,36,35,58,55,82,,,,,,No,No,,True
2430,Donnie Jones,1018017521,81,15,P,64,39,52,64,77,37,30,80,79,43,37,35,35,43,35,46,35,46,35,77,83,35,35,42,35,35,35,35,55,39,39,39,42,57,50,51,47,47,45,34,35,34,,,,,,,,,True
2431,Tyreek Hill,1018017838,81,36,WR,90,58,88,90,74,76,85,80,80,44,44,35,35,41,49,44,35,40,46,37,37,79,47,73,74,49,75,77,70,73,73,74,73,49,40,37,35,40,36,53,49,51,Yes,No,No,Yes,No,,,,True
2432,Cris Carter,21027,81,27,WR,80,69,79,78,90,83,80,78,88,31,12,10,10,10,10,40,38,38,25,27,19,27,52,73,70,71,78,78,66,78,78,74,75,27,15,10,10,10,10,60,52,56,Yes,Yes,Yes,Yes,Yes,,,,True
2433,Frank Clark,1018002552,81,23,LE,78,82,70,84,76,47,81,66,78,67,77,79,72,80,76,76,48,59,28,36,35,28,45,36,42,44,36,36,59,32,36,42,41,38,27,28,27,31,28,54,53,82,,,,,,Yes,No,,True
2434,Jalen Collins,1018002578,81,24,CB,84,51,86,82,75,66,81,78,77,66,52,52,55,64,75,75,81,75,81,36,35,50,52,66,68,53,72,74,64,44,54,62,43,36,35,35,35,36,35,62,56,58,,,,,,No,No,Aggressive,True
2435,Ha Ha Clinton-Dix,27592,81,24,FS,79,48,79,81,81,79,74,80,83,77,80,60,64,74,80,81,69,76,76,50,49,73,68,73,77,68,74,77,73,50,69,70,54,57,48,45,45,50,49,63,63,71,,,,,,Yes,No,Aggressive,False
2436,DeVante Parker,1018002437,81,30,WR,85,63,82,87,74,77,84,79,79,46,32,30,30,45,49,36,30,36,30,35,32,51,64,65,77,63,70,73,70,75,77,76,77,41,45,42,38,41,34,61,48,50,Yes,Yes,Yes,Yes,Yes,,,,True
2437,Ty Montgomery,1018002456,81,29,HB,84,63,83,88,73,75,86,79,76,48,29,25,25,48,54,42,38,35,29,35,34,74,68,74,75,71,74,78,71,73,70,74,79,46,45,38,37,47,33,57,60,55,Yes,Yes,No,Yes,No,,,,True
2438,Taylor Decker,1018017665,81,19,LT,61,84,57,75,79,37,66,79,83,42,69,29,28,37,40,32,26,28,26,31,32,25,33,28,26,29,26,26,39,28,29,29,33,34,25,26,25,28,26,78,79,79,,,,,,,,,True
2439,Alejandro Villanueva,1018002729,81,19,LT,68,80,68,77,81,67,71,65,80,48,64,60,53,60,63,49,29,31,28,35,35,28,60,36,70,66,56,61,69,52,66,71,73,37,27,28,27,31,28,78,79,79,,,,,,,,,True
2440,Jordan Berry,1018002790,81,15,P,68,49,53,70,75,41,50,81,80,38,33,28,28,38,44,38,29,28,26,78,83,26,26,34,26,30,30,28,44,26,26,28,31,48,39,40,36,38,34,42,42,42,,,,,,,,,True
2441,Tyrell Williams,1018002811,81,33,WR,85,61,88,87,76,76,85,78,77,48,31,27,27,47,48,37,34,44,37,36,34,55,55,69,75,61,69,76,69,76,74,76,75,43,40,38,40,46,35,62,50,55,Yes,Yes,No,Yes,Yes,,,,True
2442,Charles Haley,21063,81,23,RE,72,76,71,76,92,48,77,81,80,77,75,79,74,78,76,92,41,51,43,14,22,15,25,21,23,43,15,15,40,10,46,39,12,20,10,10,10,10,10,45,45,79,,,,,,Yes,Yes,,True
2443,Charles Clay,24111,81,23,TE,80,74,78,86,72,77,68,85,90,46,40,36,36,48,54,30,30,34,28,37,37,35,75,66,73,72,70,72,70,76,77,74,68,42,27,28,27,29,28,75,67,60,No,Yes,No,Yes,Yes,,,,True
2444,Yannick Ngakoue,24116,81,23,LE,77,77,80,82,72,53,78,78,84,79,78,77,84,77,78,72,46,50,42,40,39,32,43,46,46,47,42,44,55,35,40,42,40,41,32,33,32,36,33,46,40,76,,,,,,No,Yes,,True
2445,Mario Edwards Jr,1018002537,81,22,RE,72,82,65,75,75,61,75,65,74,79,83,79,71,79,79,75,46,53,41,44,47,39,47,39,41,47,41,41,60,41,41,41,43,52,39,40,39,41,40,60,60,83,,,,,,No,No,,True
2446,Ross Cockrell,1018002012,81,26,CB,84,46,81,87,79,72,86,82,85,63,69,50,55,62,77,79,74,79,79,43,43,59,50,67,65,51,68,74,68,43,60,60,59,50,33,34,33,36,34,55,55,62,,,,,,No,No,Balanced,True
2447,Brandon Shell,1018017800,81,20,RT,61,76,65,78,70,42,69,78,84,53,75,56,48,56,52,48,34,35,34,44,42,34,49,42,42,50,45,42,48,34,38,42,39,45,34,35,34,37,35,79,84,79,,,,,,,,,True
2448,Anthony Brown,1018017704,81,27,CB,88,60,79,85,75,70,80,81,83,62,67,44,48,59,75,75,79,75,80,40,39,63,44,69,64,46,70,70,67,44,60,63,47,45,34,35,34,37,35,42,40,61,,,,,,No,No,Aggressive,True
2449,Terrell Suggs,27587,81,24,ROLB,68,81,65,74,81,65,71,83,78,84,83,83,74,83,83,81,67,72,61,54,48,45,64,45,59,45,71,65,74,47,48,60,58,50,44,45,44,46,45,65,65,82,,,,,,Yes,Yes,Conservative,False
2450,John Abraham,21054,81,23,RE,82,79,77,84,76,34,71,88,79,77,74,80,69,79,83,76,40,45,27,30,20,10,35,25,30,25,55,45,38,15,26,26,35,30,10,10,10,10,10,45,45,80,,,,,,No,Yes,,True
2451,Kyle Long,1018000980,81,21,LG,70,78,65,81,82,50,64,81,80,60,65,69,53,68,59,49,33,37,30,32,32,33,47,30,39,49,39,38,53,30,30,31,36,68,29,30,29,32,30,73,83,82,,,,,,,,,True
2452,Jordan Howard,23001,80,28,HB,81,71,80,82,81,63,77,75,75,40,27,18,19,32,36,26,21,25,22,27,26,41,82,68,82,82,72,77,83,58,59,55,60,33,31,28,25,29,22,40,62,39,Yes,No,No,No,No,,,,False
2453,LeSean McCoy,23003,80,28,HB,80,55,84,81,79,69,78,79,68,45,39,31,31,42,52,33,34,33,39,32,39,38,64,82,82,69,83,82,77,75,71,68,74,45,51,49,40,40,38,50,50,50,No,No,No,No,No,,,,False
2454,Jack Doyle,22095,80,27,TE,72,77,68,71,76,83,68,74,82,51,28,32,32,46,46,28,26,28,24,33,34,25,68,50,72,68,59,63,72,72,76,78,76,34,30,28,24,30,24,76,61,68,No,Yes,No,Yes,No,No,No,,False
2455,Alex Smith,22083,80,25,QB,69,55,73,73,79,44,56,83,78,41,34,33,33,42,48,46,33,41,33,36,34,32,41,57,72,44,65,66,63,36,36,36,38,75,80,76,72,79,77,38,38,38,Yes,Yes,Yes,No,Yes,,,,False
2456,Carson Palmer,22062,80,23,QB,60,54,51,57,83,33,44,84,78,35,34,32,32,35,44,41,35,42,32,35,37,31,38,52,52,44,40,48,57,32,32,34,37,79,80,77,78,76,79,32,33,32,Yes,No,No,No,Yes,,,,False
2457,Markus Golden,22063,80,22,ROLB,74,62,65,79,82,64,71,74,81,79,83,83,74,83,83,82,60,66,60,47,47,33,62,48,67,62,57,59,64,33,33,37,38,50,32,33,32,36,33,57,57,79,,,,,,Yes,Yes,Conservative,False
2458,Anthony Castonzo,1302010655,80,18,LT,58,81,62,73,80,43,53,77,79,47,43,46,39,46,43,39,28,28,26,34,27,26,26,33,26,26,26,26,43,33,39,37,46,30,25,26,25,29,26,78,78,79,,,,,,,,,False
2459,Danielle Hunter,22311,80,22,LE,79,71,77,82,77,55,78,66,80,74,75,76,81,79,79,77,53,60,41,44,43,43,61,56,56,52,68,58,61,43,40,42,45,44,42,43,42,44,43,62,62,80,,,,,,No,No,,False
2460,Philip Rivers,20608,80,26,QB,56,54,52,57,86,18,39,80,83,18,10,8,8,18,28,22,11,25,8,12,10,8,17,24,37,25,34,40,40,8,8,10,14,71,85,81,80,78,88,11,10,11,,,,,,,,,False
2461,Jameis Winston,20606,80,23,QB,68,67,71,72,78,42,69,87,89,40,27,15,15,40,43,22,16,17,15,29,26,15,53,60,65,59,52,60,51,19,19,22,22,73,77,75,74,82,80,39,19,22,,,,,,,,,False
2462,David Johnson,20607,80,28,HB,81,72,82,80,77,67,80,80,76,29,23,23,23,20,41,23,19,23,23,27,25,75,68,81,81,79,77,81,77,72,66,64,66,32,34,31,26,25,22,38,47,44,Yes,No,No,No,Yes,,,,False
2463,Jarvis Landry,20612,80,24,WR,81,55,82,81,76,82,75,79,78,47,26,25,25,51,58,38,25,28,25,29,30,80,65,76,78,62,75,77,70,75,76,79,76,42,31,28,24,31,25,52,42,55,Yes,No,Yes,Yes,Yes,,,,False
2464,Carson Wentz,20613,80,25,QB,71,61,71,76,73,37,59,79,80,31,17,16,16,24,30,24,18,22,16,27,22,19,55,63,67,45,41,59,58,22,23,23,27,69,80,78,77,81,78,24,21,28,,,,,,,,,False
2465,Andrew Luck,20610,80,25,QB,72,63,72,74,75,62,75,82,78,24,19,18,18,26,29,30,22,27,18,30,32,16,48,57,70,26,56,63,49,53,41,49,34,78,78,74,72,80,76,28,25,20,,,,,,,,,False
2466,Ezekiel Elliott,20611,80,26,HB,81,70,82,81,79,64,77,80,79,57,47,20,21,39,53,28,23,28,25,29,28,58,66,75,80,78,76,79,79,63,63,62,56,35,40,34,31,42,40,46,61,65,Yes,No,No,No,No,,,,False
2467,Kyle Fuller,22001,80,26,CB,84,49,82,85,78,76,82,83,79,68,71,60,68,64,77,78,69,79,79,39,39,59,51,63,69,52,69,70,69,39,66,63,55,51,33,33,33,35,33,55,55,58,,,,,,No,Yes,Aggressive,False
2468,Budda Baker,23118,80,26,FS,88,70,89,90,69,65,76,88,84,72,76,45,49,64,82,69,67,73,68,35,35,58,42,59,61,42,59,64,60,50,65,65,51,38,34,33,32,38,35,46,46,66,,,,,,Yes,Yes,Aggressive,True
2469,Josh Kline,1018014930,80,18,RG,65,77,59,77,79,45,70,73,82,44,30,22,22,30,38,26,24,26,22,31,30,22,30,26,26,38,22,25,45,30,34,41,30,38,21,22,21,25,22,78,79,78,,,,,,,,,True
2470,Jameis Winston,23006,80,23,QB,68,67,71,72,78,42,69,87,89,40,27,15,15,40,43,22,16,17,15,29,26,15,53,60,65,59,52,60,51,19,19,22,22,73,77,75,74,82,80,39,19,22,,,,,,,,,False
2471,Captain Munnerlyn,1018020202,80,24,CB,83,51,83,86,76,70,79,84,83,66,66,46,56,67,76,76,76,77,75,39,41,70,32,63,79,32,79,80,65,38,54,42,38,37,32,33,32,36,33,54,54,60,,,,,,No,Yes,Balanced,True
2472,Ja'Wuan James,1018010876,80,18,RT,57,78,58,74,78,35,69,76,88,38,42,21,21,30,38,33,27,22,21,30,31,21,23,22,21,21,21,21,46,21,21,23,27,26,21,21,21,24,21,80,77,78,,,,,,,,,True
2473,Cole Beasley,22105,80,26,WR,81,54,86,82,79,79,84,83,81,40,23,19,19,49,62,39,23,31,23,33,30,70,45,75,77,44,80,78,72,80,77,73,66,39,25,22,19,24,20,42,36,42,Yes,No,Yes,Yes,Yes,No,Yes,Balanced,False
2474,J.J. Watt,20630,80,21,RE,67,84,66,72,77,66,76,82,76,77,72,77,76,77,77,77,38,54,32,36,36,36,65,49,64,60,50,52,61,63,62,60,70,41,36,37,36,38,37,56,56,77,,,,,,Yes,Yes,,False
2475,Greg Mancz,22291,80,19,C,64,79,53,72,82,34,66,75,80,35,35,24,24,31,34,27,33,32,24,33,33,24,28,24,24,24,24,24,32,24,28,28,32,28,23,24,23,26,24,74,81,78,,,,,,,,,False
2476,Quinton Spain,22302,80,19,LG,64,76,44,74,79,43,70,66,85,50,44,36,29,36,44,29,29,29,29,36,36,29,36,29,36,51,29,29,50,29,29,29,39,44,28,29,28,31,29,78,81,80,,,,,,,,,False
